feature_id,feature_class,scope,window_id,window_order,d_star,adf_rejects,operator_status,bootstrap_p_value_bucket,used_for_operator_selection
F004,LEVEL,SEGMENT,SEGMENT_W002,2,0.18,TRUE,STATIONARY,p>=0.10,FALSE
F005,LEVEL,SEGMENT,SEGMENT_W001,1,0,TRUE,STATIONARY,p>=0.10,FALSE
F005,LEVEL,SEGMENT,SEGMENT_W002,2,0.16,TRUE,STATIONARY,p>=0.10,FALSE
F006,LEVEL,SEGMENT,SEGMENT_W001,1,0,TRUE,STATIONARY,p>=0.10,FALSE
F006,LEVEL,SEGMENT,SEGMENT_W002,2,0.12,TRUE,STATIONARY,p>=0.10,FALSE
F007,LOG_LEVEL,SEGMENT,SEGMENT_W001,1,0.3,TRUE,STATIONARY,p>=0.10,FALSE
F007,LOG_LEVEL,SEGMENT,SEGMENT_W002,2,0.18,TRUE,STATIONARY,p>=0.10,FALSE
F008,LOG_LEVEL,SEGMENT,SEGMENT_W001,1,0.22,TRUE,STATIONARY,p>=0.10,FALSE
F008,LOG_LEVEL,SEGMENT,SEGMENT_W002,2,0.1,TRUE,STATIONARY,p>=0.10,FALSE
F009,LEVEL,SEGMENT,SEGMENT_W001,1,0,TRUE,STATIONARY,p>=0.10,FALSE
F009,LEVEL,SEGMENT,SEGMENT_W002,2,0.01,TRUE,STATIONARY,p>=0.10,FALSE
F010,LEVEL,SEGMENT,SEGMENT_W001,1,0.05,TRUE,STATIONARY,p<0.01,FALSE
F010,LEVEL,SEGMENT,SEGMENT_W002,2,0.07,TRUE,STATIONARY,p<0.01,FALSE
F011,LOG_LEVEL,SEGMENT,SEGMENT_W001,1,0.02,TRUE,STATIONARY,p>=0.10,FALSE
F011,LOG_LEVEL,SEGMENT,SEGMENT_W002,2,0.13,TRUE,STATIONARY,p>=0.10,FALSE
F012,LEVEL,SEGMENT,SEGMENT_W001,1,0.34,TRUE,STATIONARY,p>=0.10,FALSE
F012,LEVEL,SEGMENT,SEGMENT_W002,2,0.1,TRUE,STATIONARY,p>=0.10,FALSE
F013,LEVEL,SEGMENT,SEGMENT_W001,1,0.21,TRUE,STATIONARY,p<0.01,FALSE
F013,LEVEL,SEGMENT,SEGMENT_W002,2,0.21,TRUE,STATIONARY,p<0.01,FALSE
F014,LEVEL,SEGMENT,SEGMENT_W001,1,0.35,TRUE,STATIONARY,p<0.01,FALSE
F014,LEVEL,SEGMENT,SEGMENT_W002,2,0.21,TRUE,STATIONARY,p<0.01,FALSE
F015,LEVEL,SEGMENT,SEGMENT_W001,1,0.36,TRUE,STATIONARY,p<0.01,FALSE
F015,LEVEL,SEGMENT,SEGMENT_W002,2,0.2,TRUE,STATIONARY,p<0.01,FALSE
F016,LEVEL,SEGMENT,SEGMENT_W001,1,0,TRUE,STATIONARY,p>=0.10,FALSE
F016,LEVEL,SEGMENT,SEGMENT_W002,2,0.24,TRUE,STATIONARY,p>=0.10,FALSE
F017,LEVEL,SEGMENT,SEGMENT_W001,1,0,TRUE,STATIONARY,p>=0.10,FALSE
F017,LEVEL,SEGMENT,SEGMENT_W002,2,0.11,TRUE,STATIONARY,p>=0.10,FALSE
F018,LEVEL,SEGMENT,SEGMENT_W001,1,0,TRUE,STATIONARY,p>=0.10,FALSE
F018,LEVEL,SEGMENT,SEGMENT_W002,2,0.82,TRUE,STATIONARY,p>=0.10,FALSE
F019,LOG_LEVEL,SEGMENT,SEGMENT_W001,1,0.07,TRUE,STATIONARY,p>=0.10,FALSE
F019,LOG_LEVEL,SEGMENT,SEGMENT_W002,2,0.27,TRUE,STATIONARY,p>=0.10,FALSE
F020,LEVEL,SEGMENT,SEGMENT_W001,1,0.26,TRUE,STATIONARY,p>=0.10,FALSE
F020,LEVEL,SEGMENT,SEGMENT_W002,2,0.27,TRUE,STATIONARY,p>=0.10,FALSE
F021,LEVEL,SEGMENT,SEGMENT_W001,1,0.18,TRUE,STATIONARY,p<0.01,FALSE
F021,LEVEL,SEGMENT,SEGMENT_W002,2,0.26,TRUE,STATIONARY,p<0.01,FALSE
F022,LEVEL,SEGMENT,SEGMENT_W001,1,0.25,TRUE,STATIONARY,p<0.01,FALSE
F022,LEVEL,SEGMENT,SEGMENT_W002,2,0.27,TRUE,STATIONARY,p<0.01,FALSE
F001,LOG_LEVEL,SEGMENT,SEGMENT_W003,3,0.36,TRUE,STATIONARY,p<0.01,FALSE
F001,LOG_LEVEL,SEGMENT,SEGMENT_W004,4,0.16,TRUE,STATIONARY,p<0.01,FALSE
F002,LEVEL,SEGMENT,SEGMENT_W003,3,0.12,TRUE,STATIONARY,p<0.01,FALSE
F002,LEVEL,SEGMENT,SEGMENT_W004,4,0.21,TRUE,STATIONARY,p<0.01,FALSE
F003,LEVEL,SEGMENT,SEGMENT_W003,3,0.22,TRUE,STATIONARY,p>=0.10,FALSE
F003,LEVEL,SEGMENT,SEGMENT_W004,4,0,TRUE,STATIONARY,p>=0.10,FALSE
F004,LEVEL,SEGMENT,SEGMENT_W003,3,0.22,TRUE,STATIONARY,p>=0.10,FALSE
F004,LEVEL,SEGMENT,SEGMENT_W004,4,0.1,TRUE,STATIONARY,p>=0.10,FALSE
F005,LEVEL,SEGMENT,SEGMENT_W003,3,0.32,TRUE,STATIONARY,p>=0.10,FALSE
F005,LEVEL,SEGMENT,SEGMENT_W004,4,0.27,TRUE,STATIONARY,p>=0.10,FALSE
F006,LEVEL,SEGMENT,SEGMENT_W003,3,0.32,TRUE,STATIONARY,p>=0.10,FALSE
F006,LEVEL,SEGMENT,SEGMENT_W004,4,0,TRUE,STATIONARY,p>=0.10,FALSE
F007,LOG_LEVEL,SEGMENT,SEGMENT_W003,3,0.31,TRUE,STATIONARY,p>=0.10,FALSE
F007,LOG_LEVEL,SEGMENT,SEGMENT_W004,4,0.19,TRUE,STATIONARY,p>=0.10,FALSE
F008,LOG_LEVEL,SEGMENT,SEGMENT_W003,3,0.06,TRUE,STATIONARY,p>=0.10,FALSE
F008,LOG_LEVEL,SEGMENT,SEGMENT_W004,4,0.35,TRUE,STATIONARY,p>=0.10,FALSE
F009,LEVEL,SEGMENT,SEGMENT_W003,3,0.19,TRUE,STATIONARY,p>=0.10,FALSE
F009,LEVEL,SEGMENT,SEGMENT_W004,4,0.29,TRUE,STATIONARY,p>=0.10,FALSE
F010,LEVEL,SEGMENT,SEGMENT_W003,3,0.27,TRUE,STATIONARY,p<0.01,FALSE
F010,LEVEL,SEGMENT,SEGMENT_W004,4,0.52,TRUE,STATIONARY,p<0.01,FALSE
F011,LOG_LEVEL,SEGMENT,SEGMENT_W003,3,0,TRUE,STATIONARY,p>=0.10,FALSE
F011,LOG_LEVEL,SEGMENT,SEGMENT_W004,4,0.14,TRUE,STATIONARY,p>=0.10,FALSE
F012,LEVEL,SEGMENT,SEGMENT_W003,3,0.09,TRUE,STATIONARY,p>=0.10,FALSE
F012,LEVEL,SEGMENT,SEGMENT_W004,4,0.25,TRUE,STATIONARY,p>=0.10,FALSE
F013,LEVEL,SEGMENT,SEGMENT_W003,3,0.33,TRUE,STATIONARY,p<0.01,FALSE
F013,LEVEL,SEGMENT,SEGMENT_W004,4,0.26,TRUE,STATIONARY,p<0.01,FALSE
F014,LEVEL,SEGMENT,SEGMENT_W003,3,0.29,TRUE,STATIONARY,p<0.01,FALSE
F014,LEVEL,SEGMENT,SEGMENT_W004,4,0.25,TRUE,STATIONARY,p<0.01,FALSE
